"affvc_elev","affvc_mat","affvc_map"
"1",1463.88379816897,90.2773997603105,669.986397572262
"2",1764.29221260885,56.3396842164032,705.01127089677
"3",1534.17355624961,61.9472594220248,1102.7853462724
"4",1889.08492169815,61.6115404448596,2300.04753025658
"5",1613.48963464896,97.1906876207197,1694.21463994025
"6",769.656487768806,56.8255997515276,1846.77869008594
"7",2508.92126179793,22.5811856279798,416.098579326103
"8",2123.04227625786,23.0675807419696,1240.77320064618
"9",726.310328117032,65.9640207155563,285.301338453519
"10",1656.72090183981,76.7688632761575,1050.30161459588
"11",670.533396540532,23.9084236706111,884.034213857081
"12",942.273845140688,52.319112808842,121.468060517599
"13",1343.44371773325,67.6332839852205,188.821519789702
"14",1160.66642116965,40.7473992860542,1881.36277114478
"15",1361.98236576793,91.4069562534145,73.71644695745
"16",546.866808944207,69.2576117149939,1109.96339622495
"17",1021.46326397243,23.1888812066439,977.11481995953
"18",1121.85665690575,99.1793488031473,1717.06763266283
"19",1384.0360129259,118.688475039218,227.044908892343
"20",1148.52226507835,67.0509249325827,1265.32477881548
"21",448.734546998756,22.1635990646711,915.805721805285
"22",415.113328156149,98.8380811671508,726.348135698113
"23",1567.15122566507,105.209350771313,1121.77193053386
"24",1856.25963647738,33.3433704515357,2188.06068978542
"25",2114.07058582923,13.5530674444942,490.805093651498
"26",1704.95281713467,55.5957653833616,1109.52561837587
"27",2251.19122604914,101.624212264639,869.496733575947
"28",1044.18537566184,182.024899665077,984.896400619806
"29",431.991167064529,2.83003249986203,75.2734238076047
"30",465.887636921546,63.2346455074385,43.8686776625873
"31",780.628891320063,126.885996702854,1788.54596661247
"32",64.129500509639,86.1019506023695,522.800575088321
"33",1846.73759336982,82.7832690158826,690.982060292466
"34",1438.90205554527,79.8366560814346,1252.56802092131
"35",2123.60745711689,60.0041072769756,1194.31340095952
"36",280.357376872517,71.7719967615836,1192.85751736271
"37",1723.36098170142,54.1693888276636,1061.14765721119
"38",694.683401369939,37.3733113926459,1371.66964344056
"39",78.3956210584631,74.5977933546808,1040.7828833114
